pid,fid12,cfps2012_age,cfps2012_gender,qe104,qq301,qz202,sw1r,kr1ckp4
110041101,110041,44,女,在婚（有配偶）,否,6,,不适用
110026102,110026,39,男,在婚（有配偶）,否,6,,不适用
110033102,110033,76,男,在婚（有配偶）,否,6,,不适用
110126102,110126,59,女,在婚（有配偶）,否,6,,不适用
110030431,110030,64,女,同居,否,6,,不适用
110116102,110116,58,男,在婚（有配偶）,是,6,,不适用
110125101,110125,59,女,在婚（有配偶）,否,6,,不适用
110027101,110027,74,男,在婚（有配偶）,否,5,,不适用
110069101,110069,61,女,在婚（有配偶）,否,6,,不适用
110083102,110083,62,女,在婚（有配偶）,否,4,,不适用
110043103,110043,27,男,未婚,否,7,,不适用
110050101,110050,81,女,丧偶,否,6,,不适用
110050103,110050,32,男,在婚（有配偶）,是,6,,不适用
110057102,110057,63,女,在婚（有配偶）,否,6,,不适用
110084102,110084,54,男,在婚（有配偶）,否,6,,不适用
110074102,110074,62,女,在婚（有配偶）,否,4,,不适用
110051103,110051,52,男,在婚（有配偶）,否,6,,不适用
110079101,110079,44,男,在婚（有配偶）,是,5,,不适用
110074101,110074,64,男,在婚（有配偶）,是,4,,不适用
110063102,110063,18,女,未婚,否,6,,不适用
110070102,110070,64,男,在婚（有配偶）,是,6,,不适用
110056102,110056,84,女,丧偶,否,3,,不适用
110078103,110078,73,女,在婚（有配偶）,否,6,,不适用
110066102,110066,69,女,在婚（有配偶）,否,6,,不适用
110052103,110052,53,男,在婚（有配偶）,是,5,,不适用
110078102,110078,73,男,在婚（有配偶）,否,4,,不适用
110060101,110060,65,男,在婚（有配偶）,否,5,,不适用
110066101,110066,67,男,在婚（有配偶）,否,2,,不适用
110067101,110067,26,女,未婚,否,6,,不适用
110051102,110051,80,女,丧偶,否,4,,不适用
110078101,110078,43,男,在婚（有配偶）,否,6,,不适用
110083101,110083,63,男,在婚（有配偶）,是,6,,不适用
110047102,110047,35,女,在婚（有配偶）,否,7,,不适用
110043107,110043,18,男,未婚,是,6,,不适用
110069103,110069,33,男,未婚,否,6,,不适用
110061101,110061,81,男,丧偶,否,4,,不适用
110084101,110084,54,女,在婚（有配偶）,否,6,,不适用
110076101,110076,52,女,未婚,否,5,,不适用
110052101,110052,52,女,在婚（有配偶）,否,6,,不适用
110079102,110079,39,女,在婚（有配偶）,否,6,,不适用
110078104,110078,38,女,在婚（有配偶）,否,6,,不适用
110073101,110073,79,女,丧偶,否,5,,不适用
110063101,110063,81,女,丧偶,否,2,,不适用
110045101,110045,80,女,丧偶,否,3,,不适用
110083104,110083,33,女,在婚（有配偶）,否,6,,不适用
110060102,110060,62,女,在婚（有配偶）,否,4,,不适用
110060103,110060,32,女,未婚,否,6,,不适用
110081103,110081,31,男,未婚,否,6,,不适用
110070101,110070,60,女,在婚（有配偶）,否,5,,不适用
110051101,110051,51,女,在婚（有配偶）,否,5,,不适用
110052104,110052,26,男,在婚（有配偶）,否,5,,不适用
110043101,110043,52,男,在婚（有配偶）,否,6,,不适用
